timestamp;Entry No_;Item No_;Posting Date;Entry Type;Source No_;Document No_;Description;Location Code;Quantity;Remaining Quantity;Invoiced Quantity;Applies-to Entry;Open;Global Dimension 1 Code;Positive;Shpt_ Method Code;Source Type;Drop Shipment;Country_Region Code;Document Date;No_ Series;Document Type;Document Line No_;Order Type;Order No_;Order Line No_;Dimension Set ID;Assemble to Order;Job No_;Job Task No_;Job Purchase;Qty_ per Unit of Measure;Unit of Measure Code;Derived from Blanket Order;Out-of-Stock Substitution;Item Category Code;Nonstock;Completely Invoiced;Last Invoice Date;Applied Entry to Adjust;Correction;Shipped Qty_ Not Returned;Prod_ Order Comp_ Line No_;Warranty Date;Expiration Date;Item Tracking;Subcontr_ Purch_ Order Line;Prod_ Order Line No_;$systemId;$systemCreatedAt;$systemCreatedBy;$systemModifiedAt;$systemModifiedBy
0x00000000000DE862;1;1100;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;15.100.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;89A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:51.633;00000000-0000-0000-0000-000000000001;2023-11-23 11:10:18.617;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x000000000005B3B5;2;1110;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;40.000.000.000.000.000.000.000;39.700.000.000.000.000.000.000;40.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;8FA498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.427;00000000-0000-0000-0000-000000000001;2023-05-18 08:01:41.483;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x000000000005B390;3;1120;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;1.000.000.000.000.000.000.000.000;985.000.000.000.000.000.000.000;1.000.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;94A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.460;00000000-0000-0000-0000-000000000001;2023-05-18 07:57:46.097;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x000000000005B3BF;4;1150;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;19.700.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;99A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.487;00000000-0000-0000-0000-000000000001;2023-05-18 08:01:41.527;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x0000000000015528;5;1151;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;9EA498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.497;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.497;00000000-0000-0000-0000-000000000001
0x0000000000015531;6;1155;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;A3A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.507;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.507;00000000-0000-0000-0000-000000000001
0x000000000005B3C9;7;1160;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;19.700.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;A8A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.517;00000000-0000-0000-0000-000000000001;2023-05-18 08:01:41.577;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x000000000005B3D3;8;1170;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;19.700.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;ADA498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.527;00000000-0000-0000-0000-000000000001;2023-05-18 08:01:41.603;D8AD66B3-981D-4DE1-BFCD-A140F0E442B0
0x000000000001A5CE;9;1200;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;15.200.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;B2A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.537;00000000-0000-0000-0000-000000000001;2022-09-23 02:31:45.973;00000000-0000-0000-0000-000000000001
0x000000000001555A;10;1250;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;B7A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.543;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.543;00000000-0000-0000-0000-000000000001
0x0000000000015563;11;1251;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;1.000.000.000.000.000.000.000.000;1.000.000.000.000.000.000.000.000;1.000.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;BCA498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.553;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.553;00000000-0000-0000-0000-000000000001
0x000000000001556C;12;1255;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;C1A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.563;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.563;00000000-0000-0000-0000-000000000001
0x000000000001A5D7;13;1300;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;20.000.000.000.000.000.000.000;15.200.000.000.000.000.000.000;20.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;1;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;C6A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.573;00000000-0000-0000-0000-000000000001;2022-09-23 02:31:45.987;00000000-0000-0000-0000-000000000001
0x000000000001557E;14;1310;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;10.000.000.000.000.000.000.000;10.000.000.000.000.000.000.000;10.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;CBA498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.583;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.583;00000000-0000-0000-0000-000000000001
0x000000000001558C;15;1320;2023-06-01 00:00:00.000;2;;AVVIO-PROD;;;10.000.000.000.000.000.000.000;10.000.000.000.000.000.000.000;10.000.000.000.000.000.000.000;0;1;;1;;0;0;;2023-06-01 00:00:00.000;;0;0;0;;0;0;0;;;0;100.000.000.000.000.000.000;PZ;0;0;;0;1;2023-06-01 00:00:00.000;0;0;0.00000000000000000000;0;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0;0;0;D0A498BC-E73A-ED11-BBAF-6045BD8E5A17;2022-09-23 02:30:52.590;00000000-0000-0000-0000-000000000001;2022-09-23 02:30:52.590;00000000-0000-0000-0000-000000000001
